hsmc_pin,hsmc_net,fpga_pin,fpga_signal
1,VALT_FE,,
2,FE_I2C_SDA,,
3,VALT_FE,,
4,FE_I2C_SCL,,
5,FE_CLKSRC,,
6,FE_I2C_VCC,,
7,FE_CLK_P1,,
8,FE_CLK_P0,,
9,FE_CLK_N1,,
10,FE_CLK_N0,,
11,VRAW_SW,,
12,FE_VCCIO_A,,
13,FE_A1,M23,DIFFIO_R22p
14,FE_A0,L26,DIFFIO_R14p
15,FE_A3,L23,DIFFIO_R20p
16,FE_A2,K25,DIFFIO_R28n
17,FE_A5,J23,DIFFIO_R18n
18,FE_A4,K26,DIFFIO_R10p
19,FE_A7,H23,DIFFIO_R13n
20,FE_A6,J25,DIFFIO_R13p
21,FE_A9,G23,DIFFIO_R9p
22,FE_A8,J26,J26
23,VRAW_SW,,
24,FE_VCCIO_A,,
25,FE_A11,M24,DIFFIO_R28p
26,FE_A10,H26,DIFFIO_R26n
27,FE_A13,L25,DIFFIO_R26p
28,FE_A12,G25,DIFFIO_R10n
29,FE_A15,L24,DIFFIO_R17p
30,FE_A14,G26,DIFFIO_R9n
31,FE_A17,J24,DIFFIO_R14n
32,FE_A16,F25,DIFFIO_R4p
33,FE_A19,H25,DIFFIO_R19n
34,FE_A18,F26,F26
35,VRAW_SW,,
36,FE_VCCIO_A,,
37,FE_A21,H24,DIFFIO_R11p
38,FE_A20,E25,DIFFIO_R16n
39,FE_A23,G24,DIFFIO_R25p
40,FE_A22,E26,DIFFIO_R3n
41,FE_A25,F24,DIFFIO_R15n
42,FE_A24,D25,DIFFIO_R2n
43,FE_A27,E24,DIFFIO_R3p
44,FE_A26,D26,DIFFIO_R1n
45,FE_A29,D24,DIFFIO_R2p
46,FE_A28,C26,DIFFIO_R1p
47,VRAW_SW,,
48,FE_VCCIO_A,,
49,FE_A31,F27,DIFFIO_R8p
50,FE_A30,L28,DIFFIO_R18p
51,FE_A33,F28,DIFFIO_R8n
52,FE_A32,L27,DIFFIO_R17n
53,FE_A35,E28,DIFFIO_R7n
54,FE_A34,K28,DIFFIO_R16p
55,FE_A37,D27,DIFFIO_R5p
56,FE_A36,J27,CLK4/DIFFCLK_2p
57,FE_A39,D28,DIFFIO_R5n
